player_id,condition,round_index,correct_answer,independent_guess,revised_guess,neighbors_choice,score,difficulty,alter_1,alter_2,alter_3,in_degree,independent_error,revised_error,cumulative_score,increment,round_after_shock
0,dynamic_network_2,0,9,10,30,"[5, 3]",21.0,easy,2,5,,2,1,21,21.0,,0
0,dynamic_network_2,1,78,75,20,"[1, 4]",58.0,easy,5,3,,2,3,58,79.0,58.0,1
0,dynamic_network_2,2,91,85,65,"[2, 5]",26.0,easy,1,4,,2,6,26,105.0,26.0,2
0,dynamic_network_2,3,47,70,12,"[3, 4]",35.0,easy,2,5,,2,23,35,140.0,35.0,3
0,dynamic_network_2,4,8,15,12,"[1, 4]",4.0,easy,3,4,,2,7,4,144.0,4.0,4
0,dynamic_network_2,5,27,10,8,"[2, 3]",19.0,hard,1,4,,2,17,19,163.0,19.0,5
0,dynamic_network_2,6,58,30,50,"[1, 4]",7.999999999999993,hard,2,3,,2,28,8,171.0,8.0,6
0,dynamic_network_2,7,78,10,70,"[2, 3]",8.0,hard,1,4,,2,68,8,179.0,8.0,7
0,dynamic_network_2,8,3,85,40,"[2, 3]",37.0,hard,2,3,,2,82,37,216.0,37.0,8
0,dynamic_network_2,9,8,40,10,,2.0,hard,2,3,,2,32,2,218.0,2.0,9
1,dynamic_network_2,0,9,10,15,"[0, 5]",6.0,medium,0,2,,2,1,6,6.0,-212.0,0
1,dynamic_network_2,1,78,5,30,"[2, 4]",48.0,medium,0,5,,2,73,48,54.0,48.0,1
1,dynamic_network_2,2,91,85,65,"[0, 5]",26.0,medium,2,4,,2,6,26,80.0,26.0,2
1,dynamic_network_2,3,47,70,12,"[2, 3]",35.0,medium,0,5,,2,23,35,115.0,35.0,3
1,dynamic_network_2,4,8,5,15,"[2, 4]",7.0,medium,2,3,,2,3,7,122.0,7.0,4
1,dynamic_network_2,5,27,5,8,"[0, 3]",19.0,easy,2,4,,2,22,19,141.0,19.0,5
1,dynamic_network_2,6,58,85,50,"[2, 4]",7.999999999999993,easy,0,3,,2,27,8,149.0,8.0,6
1,dynamic_network_2,7,78,85,60,"[2, 0]",18.0,easy,2,4,,2,7,18,167.0,18.0,7
1,dynamic_network_2,8,3,5,40,"[0, 4]",37.0,easy,2,0,,2,2,37,204.0,37.0,8
1,dynamic_network_2,9,8,5,20,,12.0,easy,0,4,,2,3,12,216.0,12.0,9
2,dynamic_network_2,0,9,60,35,"[0, 5]",26.0,hard,3,5,,2,51,26,26.0,-190.0,0
2,dynamic_network_2,1,78,40,30,"[1, 4]",48.0,hard,0,5,,2,38,48,74.0,48.0,1
2,dynamic_network_2,2,91,40,65,"[0, 5]",26.0,hard,1,4,,2,51,26,100.0,26.0,2
2,dynamic_network_2,3,47,5,12,"[3, 4]",35.0,hard,0,5,,2,42,35,135.0,35.0,3
2,dynamic_network_2,4,8,50,12,"[1, 5]",4.0,hard,3,4,,2,42,4,139.0,4.0,4
2,dynamic_network_2,5,27,60,10,"[0, 3]",17.0,medium,1,5,,2,33,17,156.0,17.0,5
2,dynamic_network_2,6,58,60,50,"[1, 3]",7.999999999999993,medium,0,3,,2,2,8,164.0,8.0,6
2,dynamic_network_2,7,78,65,70,"[0, 4]",8.0,medium,1,3,,2,13,8,172.0,8.0,7
2,dynamic_network_2,8,3,5,30,"[1, 3]",27.0,medium,0,4,,2,2,27,199.0,27.0,8
2,dynamic_network_2,9,8,60,20,,12.0,medium,1,3,,2,52,12,211.0,12.0,9
3,dynamic_network_2,0,9,5,5,"[4, 1]",4.0,easy,4,0,,2,4,4,4.0,-207.0,0
3,dynamic_network_2,1,78,80,17,"[4, 1]",61.0,easy,4,1,,2,2,61,65.0,61.0,1
3,dynamic_network_2,2,91,85,65,"[4, 0]",26.0,easy,4,1,,2,6,26,91.0,26.0,2
3,dynamic_network_2,3,47,60,30,"[4, 5]",17.0,easy,4,0,,2,13,17,108.0,17.0,3
3,dynamic_network_2,4,8,10,13,"[4, 1]",5.0,easy,4,5,,2,2,5,113.0,5.0,4
3,dynamic_network_2,5,27,5,8,"[4, 0]",19.0,hard,4,1,,2,22,19,132.0,19.0,5
3,dynamic_network_2,6,58,25,42,"[4, 1]",15.999999999999993,hard,4,0,,2,33,16,148.0,16.0,6
3,dynamic_network_2,7,78,5,70,"[4, 0]",8.0,hard,4,1,,2,73,8,156.0,8.0,7
3,dynamic_network_2,8,3,85,30,"[4, 1]",27.0,hard,4,0,,2,82,27,183.0,27.0,8
3,dynamic_network_2,9,8,30,25,,17.0,hard,4,1,,2,22,17,200.0,17.0,9
4,dynamic_network_2,0,9,10,15,"[1, 2]",6.0,medium,1,2,,2,1,6,6.0,-194.0,0
4,dynamic_network_2,1,78,10,25,"[1, 2]",53.0,medium,1,2,,2,68,53,59.0,53.0,1
4,dynamic_network_2,2,91,85,65,"[1, 2]",26.0,medium,1,2,,2,6,26,85.0,26.0,2
4,dynamic_network_2,3,47,60,15,"[3, 5]",32.0,medium,1,2,,2,13,32,117.0,32.0,3
4,dynamic_network_2,4,8,10,10,"[1, 3]",2.0,medium,3,5,,2,2,2,119.0,2.0,4
4,dynamic_network_2,5,27,15,5,"[1, 2]",22.0,easy,1,3,,2,12,22,141.0,22.0,5
4,dynamic_network_2,6,58,85,40,"[1, 2]",17.999999999999993,easy,1,2,,2,27,18,159.0,18.0,6
4,dynamic_network_2,7,78,85,70,"[0, 2]",8.0,easy,1,2,,2,7,8,167.0,8.0,7
4,dynamic_network_2,8,3,10,40,"[0, 1]",37.0,easy,0,2,,2,7,37,204.0,37.0,8
4,dynamic_network_2,9,8,5,20,,12.0,easy,0,1,,2,3,12,216.0,12.0,9
